name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
segment-78,integral_coordinates,homology,0.0011420200000884506,0.0002420840000922908,626
boundary-78,cycle_filling,fill,0.0012096919999748934,4.216299998915929e-05,54
cycle-78,cycle_classification,obstruction,0.0012010790001113492,4.612899988387653e-05,75
segment-79,integral_coordinates,homology,0.0005325920001268969,0.00010887399980674672,469
boundary-79,cycle_filling,fill,0.0007527239999944868,3.4482000046409667e-05,50
cycle-79,cycle_classification,fill,0.0006269739999424928,3.210899990335747e-05,50
segment-80,integral_coordinates,homology,0.0006862140000976069,0.00017595500003153575,536
boundary-80,cycle_filling,fill,0.000769158000139214,3.151800001433003e-05,58
cycle-80,cycle_classification,obstruction,0.0008278870000140159,3.643399986685836e-05,71
segment-81,integral_coordinates,homology,0.0005146860000877496,0.00013069600004200765,520
boundary-81,cycle_filling,fill,0.0005169080000086979,4.1301999999632244e-05,49
cycle-81,cycle_classification,fill,0.0005041289998644061,2.377600003455882e-05,49
segment-82,integral_coordinates,homology,0.0007751180000923341,0.00017068700003619597,553
boundary-82,cycle_filling,fill,0.0008241120001457602,3.674499998851388e-05,52
cycle-82,cycle_classification,fill,0.0007803149999290326,3.5553000088839326e-05,52
segment-83,integral_coordinates,homology,0.0014084310000725964,0.00027719800004888384,675
boundary-83,cycle_filling,fill,0.0013366329999371374,5.0426000143488636e-05,58
cycle-83,cycle_classification,obstruction,0.0013171840000723023,5.3381000043373206e-05,75
segment-84,integral_coordinates,homology,0.0011124259999633068,0.00022741199995834904,617
boundary-84,cycle_filling,fill,0.0012010189998363785,3.81170000309794e-05,51
cycle-84,cycle_classification,obstruction,0.0011936169998989499,4.027099998893391e-05,79
segment-85,integral_coordinates,homology,0.0013940790001925052,0.00041218100000151026,741
boundary-85,cycle_filling,fill,0.0015151620000324328,4.317499997341656e-05,57
cycle-85,cycle_classification,obstruction,0.0014267690000906441,6.426699997064134e-05,79
segment-86,integral_coordinates,homology,0.0005532739999125624,0.00010933399994428328,468
boundary-86,cycle_filling,fill,0.0005565980000028503,3.0976999823906226e-05,50
cycle-86,cycle_classification,fill,0.0005199730001095304,2.9003000008742674e-05,50
segment-87,integral_coordinates,homology,0.0017306960000951221,0.0003958869999678427,811
boundary-87,cycle_filling,fill,0.0017891249999593128,6.800300002396398e-05,58
cycle-87,cycle_classification,obstruction,0.001861543999893911,7.229900006677781e-05,79
segment-88,integral_coordinates,homology,0.0005001030001494655,0.00010760199984360952,463
boundary-88,cycle_filling,fill,0.000556358000039836,2.978499992423167e-05,54
