family,id,status,search_ms,check_ms,certificate_bytes
cdclt_random,random_097,unsat,0.078758,0.014267,699
cdclt_random,random_098,unsat,0.048459,0.009087,622
cdclt_random,random_099,sat,0.039542,0.003895,261
cdclt_random,random_100,unsat,0.42624,0.01038,651
cdclt_random,random_101,unsat,0.108212,0.017845,911
cdclt_random,random_102,unsat,0.038536,0.008033,568
cdclt_random,random_103,sat,0.088272,0.006528,364
cdclt_random,random_104,sat,0.041632,0.005179,253
cdclt_random,random_105,unsat,0.083679,0.015423,918
cdclt_random,random_106,sat,0.098081,0.006751,397
cdclt_random,random_107,unsat,0.041839,0.013981,869
cdclt_random,random_108,unsat,0.069284,0.013358,908
cdclt_random,random_109,unsat,0.043971,0.015188,1096
cdclt_random,random_110,sat,0.201874,0.005095,350
cdclt_random,random_111,sat,0.10444,0.005634,362
cdclt_random,random_112,unsat,0.088121,0.019321,1134
cdclt_random,random_113,unsat,0.053792,0.012825,754
cdclt_random,random_114,unsat,0.031718,0.010105,808
cdclt_random,random_115,unsat,0.060196,0.02035,1183
cdclt_random,random_116,unsat,0.053169,0.01427,1088
cdclt_random,random_117,sat,0.037537,0.004266,258
cdclt_random,random_118,unsat,0.105751,0.017686,1150
cdclt_random,random_119,unsat,0.019578,0.007544,518
cdclt_random,random_120,unsat,0.035747,0.01271,926
cdclt_random,random_121,unsat,0.051132,0.007737,579
cdclt_random,random_122,sat,0.029726,0.005106,316
cdclt_random,random_123,unsat,0.034424,0.015124,1018
cdclt_random,random_124,sat,0.03392,0.00501,321
cdclt_random,random_125,unsat,0.048535,0.097897,932
cdclt_random,random_126,sat,0.031989,0.005446,331
cdclt_random,random_127,sat,0.018331,0.003314,257
cdclt_random,random_128,unsat,0.062478,0.016356,1004
cdclt_random,random_129,sat,0.04353,0.006341,415
cdclt_random,random_130,sat,0.070613,0.006473,404
cdclt_random,random_131,sat,0.027294,0.003918,278
cdclt_random,random_132,unsat,0.02342,0.009527,642
cdclt_random,random_133,unsat,0.046106,0.011164,810
cdclt_random,random_134,sat,0.050731,0.005315,382
cdclt_random,random_135,sat,0.072837,0.003863,263
cdclt_random,random_136,unsat,0.121147,0.016422,823
cdclt_random,random_137,unsat,0.026834,0.009087,700
cdclt_random,random_138,sat,0.06181,0.008156,471
