case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
nonlinear_equivalence_03,nonlinear equivalence,ideal,proved,proved,True,,0.0003835349999690152,closure-certificate,61,[2],0.01783846899991204,2,0,2,4,6,2,1.7419708639999953,,
nonlinear_mutant_03,nonlinear mutant,linear,refuted,refuted,True,,0.00029738600005657645,counterexample,94,,0.0445149219999621,3,3,0,4,3,2,1.7844200569999202,"['-4', '1']",2
nonlinear_mutant_03,nonlinear mutant,ideal,refuted,refuted,True,,0.0002611910000496209,counterexample,94,,0.03599782000003415,3,3,2,4,3,2,2.3904255229999762,"['-4', '1']",2
nonlinear_equivalence_04,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.02132792600002631,3,0,0,8,4,3,2.3966196809999474,,
nonlinear_equivalence_04,nonlinear equivalence,ideal,proved,proved,True,,0.0006227229999922201,closure-certificate,90,[2],0.01725492499997472,2,0,2,4,6,2,1.2094433969999727,,
nonlinear_mutant_04,nonlinear mutant,linear,refuted,refuted,True,,0.00039054500007296156,counterexample,134,,0.022476476999941042,3,3,0,4,3,2,1.1635174659999166,"['-5', '1']",2
nonlinear_mutant_04,nonlinear mutant,ideal,refuted,refuted,True,,0.0003121779999446517,counterexample,134,,0.03655705700009548,3,3,2,4,3,2,1.3849191230000315,"['-5', '1']",2
nonlinear_equivalence_05,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.06514739100009592,3,0,0,8,4,3,2.2804297330000054,,
nonlinear_equivalence_05,nonlinear equivalence,ideal,proved,proved,True,,0.00038541699996130774,closure-certificate,90,[2],0.025562708999927963,2,0,2,4,6,2,1.4642654919999814,,
nonlinear_mutant_05,nonlinear mutant,linear,refuted,refuted,True,,0.00027699500003564026,counterexample,134,,0.03185814899995876,3,3,0,4,3,2,2.209797227000081,"['-6', '1']",2
nonlinear_mutant_05,nonlinear mutant,ideal,refuted,refuted,True,,0.0002997289999484565,counterexample,134,,0.03253390199995465,3,3,2,4,3,2,1.5124392190000435,"['-6', '1']",2
nonlinear_equivalence_06,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.04043309300004694,3,0,0,8,4,3,1.345430227999941,,
nonlinear_equivalence_06,nonlinear equivalence,ideal,proved,proved,True,,0.0005204799999773968,closure-certificate,61,[2],0.016682877999983248,2,0,2,4,6,2,1.6027801840000393,,
nonlinear_mutant_06,nonlinear mutant,linear,refuted,refuted,True,,0.0003545309999708479,counterexample,94,,0.057861338999941836,3,3,0,4,3,2,1.4033573140000044,"['-7', '1']",2
nonlinear_mutant_06,nonlinear mutant,ideal,refuted,refuted,True,,0.0002441950000502402,counterexample,94,,0.028623835000075815,3,3,2,4,3,2,1.4037586230000443,"['-7', '1']",2
nonlinear_equivalence_07,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.05905821199996808,3,0,0,8,4,3,1.531869717999939,,
nonlinear_equivalence_07,nonlinear equivalence,ideal,proved,proved,True,,0.00044126099999175494,closure-certificate,90,[2],0.011408017999997355,2,0,2,4,6,2,1.522385460999999,,
nonlinear_mutant_07,nonlinear mutant,linear,refuted,refuted,True,,0.0004614919999994527,counterexample,134,,0.020305765000102838,3,3,0,4,3,2,1.6188875640000333,"['-8', '1']",2
nonlinear_mutant_07,nonlinear mutant,ideal,refuted,refuted,True,,0.0004437139999708961,counterexample,134,,0.052722361000064666,3,3,2,4,3,2,1.9812187979999862,"['-8', '1']",2
affine_equivalence_00,affine equivalence,linear,proved,proved,True,,0.0007026430000678374,closure-certificate,111,[2],0.025475658999994266,2,0,0,1,10,4,1.3312153900000112,,
affine_equivalence_00,affine equivalence,ideal,proved,proved,True,,0.0007600589999583462,closure-certificate,111,[2],0.03314249300001393,2,0,2,1,10,4,2.1598746209999717,,
affine_mutant_00,affine mutant,linear,refuted,refuted,True,,0.0004722180000271692,counterexample,157,,0.03827952699998605,3,3,0,1,4,3,1.4672647520000055,"['-1', '1']",2
affine_mutant_00,affine mutant,ideal,refuted,refuted,True,,0.00047163600004296313,counterexample,157,,0.021010871000044062,3,3,2,1,4,3,1.3760404359999256,"['-1', '1']",2
affine_equivalence_01,affine equivalence,linear,proved,proved,True,,0.0008435229999577132,closure-certificate,180,[3],0.10108307999996669,3,0,0,1,14,6,2.094355405999977,,
affine_equivalence_01,affine equivalence,ideal,proved,proved,True,,0.0006606000000601853,closure-certificate,180,[3],0.06284796800002823,3,0,3,1,14,6,1.3096849439999687,,
affine_mutant_01,affine mutant,linear,refuted,refuted,True,,0.0006184459999758474,counterexample,430,,0.03797294799994688,4,4,0,1,6,5,1.2672942180000746,"['-1', '1']",3
affine_mutant_01,affine mutant,ideal,refuted,refuted,True,,0.0008896329999288355,counterexample,430,,0.09355180800002927,4,4,3,1,6,5,1.5509767370000418,"['-1', '1']",3
affine_equivalence_02,affine equivalence,linear,proved,proved,True,,0.0005366839999396689,closure-certificate,105,[2],0.06805728099993757,2,0,0,1,10,4,1.455660019999982,,
affine_equivalence_02,affine equivalence,ideal,proved,proved,True,,0.0005439540000224952,closure-certificate,105,[2],0.015593056000057004,2,0,2,1,10,4,1.6453092200000583,,
affine_mutant_02,affine mutant,linear,refuted,refuted,True,,0.00028839200001584686,counterexample,157,,0.04379895499994291,3,3,0,1,4,3,1.3556975309999189,"['-1', '1']",2
