lane,name,outcome,search_ms,check_ms,certificate_bytes
nc,weyl-3-1,proved,0.05636400010189391,0.036583999985850824,261
nc,weyl-3-2,proved,0.12178200006474071,0.07372100003522064,597
nc,weyl-3-3,proved,0.2014119999103059,0.11252900003455579,1022
nc,weyl-3-4,proved,0.29943899994577805,0.15598400000271795,1479
nc,weyl-3-5,proved,0.4077509998978712,0.19837699994695868,1974
nc,weyl-3-6,proved,0.4881520000026285,0.2442459999656421,2505
nc,weyl-4-1,proved,0.07092599992120086,0.04462699996565789,337
nc,weyl-4-2,proved,0.1555129999815108,0.09467200004564802,826
nc,weyl-4-3,proved,0.2917870000374023,0.15784599997914484,1480
nc,weyl-4-4,proved,0.4820420000442027,0.22669899999527843,2250
nc,weyl-4-5,proved,0.7772149999709654,0.3322579999576192,3076
nc,weyl-4-6,proved,0.8270000000720756,0.37890800001605385,3965
nc,weyl-5-1,proved,0.08187299999917741,0.05135699996117182,419
nc,weyl-5-2,proved,0.19292900003620161,0.1140209999448416,1072
nc,weyl-5-3,proved,0.4155730000547919,0.20208299997648282,1977
nc,weyl-5-4,proved,0.615493000054812,0.8835439999757,3078
nc,weyl-5-5,proved,3.886796999950093,0.45244799991905893,4328
nc,weyl-5-6,proved,1.2291730000697498,0.5128289999447588,5664
nc,weyl-6-1,proved,0.13497200006895582,0.06374499992034544,507
nc,weyl-6-2,proved,0.2466699999104094,0.13706599997931335,1336
nc,weyl-6-3,proved,0.463295000031394,0.24404600003435917,2507
nc,weyl-6-4,proved,0.9220619999723567,0.4379360000257293,3966
nc,weyl-6-5,proved,1.2082010000540322,0.5216319999590269,5663
nc,weyl-6-6,proved,1.9361620001063784,0.6933799999160328,7545
nc,q-plane-00,proved,0.07151800002702657,0.0423740000314865,367
nc,q-plane-01,proved,0.030346000016834296,0.01896799994938192,134
nc,q-plane-02,proved,0.119498999993084,0.07655499996417348,800
nc,q-plane-03,proved,0.14909399999396555,0.09313999998994404,1147
nc,q-plane-04,proved,0.06755099991551106,0.040320999914911226,432
nc,q-plane-05,proved,0.12614900003882212,0.07908899999620189,938
nc,q-plane-06,proved,0.2388880000125937,0.1512170000523838,1929
nc,q-plane-07,proved,0.05180799996651331,0.03348999996433122,307
nc,q-plane-08,proved,0.1851679999163025,0.10320499995941645,1347
nc,q-plane-09,proved,0.014131000057204801,0.0072409999347655685,67
nc,q-plane-10,proved,0.013760999991063727,0.006278999990172451,67
nc,q-plane-11,proved,0.03623399993557541,0.023995999981707428,193
nc,q-plane-12,proved,0.045017000047664624,0.029243999961181544,261
nc,q-plane-13,proved,0.03671499996471539,0.024557000074310054,219
nc,q-plane-14,proved,0.05809699996461859,0.038768000081290666,388
nc,q-plane-15,proved,0.23802700002306665,0.13156700003946753,1687
nc,q-plane-16,proved,0.06048999989616277,0.03657499996734259,346
nc,q-plane-17,proved,0.19594399998368317,0.11305900000024849,1348
nc,q-plane-18,proved,0.04004000004442787,0.025307999976575957,201
nc,q-plane-19,proved,0.1333500000555432,0.08159300000443181,951
nc,q-plane-20,proved,0.026749999960884452,0.017866999996840605,128
nc,q-plane-21,proved,0.07268899992141087,0.06265299998631235,541
nc,q-plane-22,proved,0.043044999983976595,0.02921400005106989,277
nc,q-plane-23,proved,0.13705499998195592,0.08598800002346252,971
nc,q-plane-24,proved,0.04706100003204483,0.028092000093238312,225
nc,q-plane-25,proved,0.15850800002681353,0.09339000007457798,1210
nc,q-plane-26,proved,0.22202299999207753,0.14140199994017166,1734
nc,q-plane-27,proved,0.12507700000696786,0.06549800002630946,696
nc,q-plane-28,proved,0.014701999930366583,0.006899999902998388,67
nc,q-plane-29,proved,0.10055100005956774,0.06495699994957249,657
nc,q-plane-30,proved,0.037096000028213894,0.024055999915617576,195
nc,q-plane-31,proved,0.1542109999945751,0.08364500001789565,933
